company_financing_stage,company_industry,company_name,company_people,job_edu_require,job_exp_require,job_id,job_name,job_salary,job_tag,job_welfare,record_date
不需要融资,"电商,消费生活",百联全渠道电商,500-2000人,本科,3-5年,6740049,大数据开发工程师,16k-32k,数据分析,绩效奖金、 带薪年假、午餐补助、岗位晋升,2020-04-23
上市公司,金融,奥解思,500-2000人,本科,1-3年,6350926,大数据开发工程师,15k-20k,数据分析,福利好，弹性工作制，培训机会多,2020-04-23
A轮,"移动互联网,社交",HOLLA Group,50-150人,不限,3-5年,6839321,大数据开发工程师,20k-30k,数据分析,"业务全球化,无限下午茶,扁平化,股权激励",2020-04-23
上市公司,电商,明源云,2000人以上,本科,3-5年,6077038,大数据开发工程师,15k-25k,数据分析,发展空间大，综合福利好， 技术氛围浓厚,2020-04-23
不需要融资,金融,捷信消费金融有限公司,2000人以上,本科,3-5年,7055006,大数据开发工程师,14k-27k,数据分析,五险一金 带薪休假 补充商业保险,2020-04-23
上市公司,游戏,吉比特,500-2000人,本科,1-3年,6254007,大数据开发工程师,15k-25k,数据分析,"上市公司,福利好,平台大,发展空间大",2020-04-23
A轮,"数据服务,移动互联网",驰骛科技ChiefClouds,50-150人,本科,1-3年,6888789,大数据开发工程师,10k-20k,数据分析,团建活动、 带薪年假、定期体检、零食水果,2020-04-23
未融资,"移动互联网,数据服务",数神科技,150-500人,本科,5-10年,7058523,数据分析师,20k-30k,数据分析,hr配合度高，职位反馈速度快。,2020-04-23
不需要融资,游戏,西山居游戏,2000人以上,本科,3-5年,7004918,大数据开发工程师,15k-30k,数据分析,六险一金、免费三餐、平台空间大,2020-04-23
B轮,教育,西瓜创客,150-500人,不限,5-10年,5963238,大数据开发工程师,15k-30k,数据分析,牛人众多，产品靠谱，扁平结构，成长快速,2020-04-23
B轮,教育,西瓜创客,150-500人,不限,不限,7031268,大数据开发工程师,15k-30k,数据分析,快速成长，风口行业，大牛围绕,2020-04-23
C轮,"企业服务,数据服务",成都晓多科技有限公司,500-2000人,本科,3-5年,6818057,大数据开发工程师,15k-20k,数据分析,人工智能，前景广阔,2020-04-23
B轮,数据服务,爱可生,150-500人,本科,3-5年,7018492,大数据开发工程师,13k-26k,数据分析,"新三板,团建,餐补,旅游",2020-04-23
不需要融资,"移动互联网,金融",金十数据,150-500人,本科,3-5年,6832487,大数据开发工程师,15k-30k,数据分析,年终奖 周末双休 五险一金 工作包餐,2020-04-23
C轮,移动互联网,问卷网@爱调研,150-500人,本科,1-3年,6736108,大数据开发工程师,15k-20k,数据分析,发展空间领导nice能力提升主人翁角色,2020-04-23
D轮及以上,汽车丨出行,嘀嗒出行,150-500人,本科,1-3年,4398724,大数据开发工程师,15k-25k,数据分析,"数据产品,离线数据,实时数据",2020-04-23
A轮,"企业服务,广告营销",Linkflow,15-50人,本科,不限,6879090,大数据开发工程师,15k-30k,数据分析,双休，偶尔加班，假期多,2020-04-23
上市公司,移动互联网,兑吧,500-2000人,本科,3-5年,7040565,大数据开发工程师,20k-40k,数据分析,上市公司，福利多多，团队靠谱。,2020-04-23
B轮,数据服务,DataStory,150-500人,本科,3-5年,7013276,大数据开发工程师,15k-20k,数据分析,"高速发展,奖励多多,企业大数据,业务导向",2020-04-23
B轮,"移动互联网,电商",包子科技,150-500人,本科,1-3年,7022947,大数据开发工程师,15k-20k,数据分析,团队氛围好 扁平管理 五险一金 绩效奖金,2020-04-23
不需要融资,金融,广发银行信用卡中心,2000人以上,本科,3-5年,6777595,数据分析师,10k-20k,数据分析,金融行业；,2020-04-23
上市公司,人工智能,索信达数据,150-500人,本科,5-10年,6888190,大数据开发工程师,16k-30k,数据分析,高知识点、快成长、上市企业、活跃团队,2020-04-23
未融资,"移动互联网,消费生活",北京联行科技,150-500人,本科,3-5年,7049425,大数据开发工程师,20k-27k,数据分析,平台稳定，领导好，成长空间大,2020-04-23
天使轮,社交,引粒网络,15-50人,本科,3-5年,6731653,大数据开发工程师,20k-40k,数据分析,极佳的办公环境，发展空间前景好,2020-04-23
A轮,医疗丨健康,四川健力生科技有限公司,15-50人,本科,3-5年,7058293,大数据开发工程师,12k-20k,数据分析,周末双休、年底双薪、美女多、管理规范,2020-04-23
不需要融资,"移动互联网,金融",海万科技,500-2000人,大专,3-5年,6428613,大数据开发工程师,14k-18k,数据分析,做五休二，交通便利，大牛团队,2020-04-23
不需要融资,"移动互联网,金融",海万科技,500-2000人,大专,3-5年,5057134,大数据开发工程师,10k-20k,数据分析,"带薪休假,节日礼金,体检旅游,年底奖金",2020-04-23
天使轮,电商,芬香科技,150-500人,本科,3-5年,7051241,大数据开发工程师,15k-25k,数据分析,五险一金 交通餐补,2020-04-23
D轮及以上,"移动互联网,数据服务",金山云,2000人以上,不限,3-5年,6979640,大数据开发工程师,20k-40k,数据分析,免费三餐 周末双休 弹性工作,2020-04-23
D轮及以上,移动互联网,百布,500-2000人,大专,3-5年,5938863,大数据开发工程师,18k-35k,数据分析,"不打卡,五险一金,扁平化管理,氛围轻松",2020-04-23
上市公司,游戏,易幻网络,150-500人,本科,1-3年,6899316,大数据开发工程师,12k-18k,数据分析,周末双休、14 薪、发展空间大,2020-04-23
未融资,"电商,医疗丨健康",北纬三十度,150-500人,大专,不限,6907721,大数据开发工程师,20k-35k,数据分析,大平台 福利好 发展前景好,2020-04-23
上市公司,金融,凌志软件,2000人以上,本科,3-5年,7046932,大数据开发工程师,10k-15k,数据分析,上市公司，五险一金，下午茶，公司旅游,2020-04-23
上市公司,金融,凌志软件,2000人以上,本科,3-5年,7041531,大数据开发工程师,13k-15k,数据分析,上市公司，五险一金，下午茶，公司旅游,2020-04-23
B轮,"企业服务,数据服务",GrowingIO,150-500人,本科,3-5年,6303090,大数据开发工程师,25k-40k,数据分析,领导nice 技术大牛 上升空间,2020-04-23
上市公司,电商,维恩贝特,500-2000人,本科,3-5年,6921222,大数据开发工程师,15k-30k,数据分析,六险一金；定期体检,2020-04-23
未融资,"社交,区块链",秘乐魔方,50-150人,本科,5-10年,6798569,大数据开发工程师,28k-38k,数据分析,弹性上班 团队年轻 老板nice,2020-04-23
未融资,硬件,一加手机,500-2000人,本科,3-5年,6972357,大数据开发工程师,15k-25k,数据分析,"专业团队,福利好",2020-04-23
不需要融资,社交,新萌网络,500-2000人,本科,3-5年,6356812,大数据开发工程师,20k-30k,数据分析,"发展平台,扁平化,晋升机会,福利待遇",2020-04-23
上市公司,"信息安全,数据服务",高奈特,150-500人,不限,3-5年,7022624,大数据开发工程师,20k-25k,数据分析,五险一金、节日福利、生日福利、定期团建,2020-04-23
